                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:20:32 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.642 A,  11.903 V,  16.931 W
 Thu Apr 24 06:20:42 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.642 A,  11.880 V,  16.810 W
 Thu Apr 24 06:20:52 2014, 00:1e:c0:81:3a:fa,  29.6 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.903 V,   0.640 A,  11.903 V,  16.783 W
 Thu Apr 24 06:21:02 2014, 00:1e:c0:81:3a:fa,  29.6 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.640 A,  11.880 V,  16.976 W
 Thu Apr 24 06:21:12 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.642 A,  11.880 V,  16.946 W
 Thu Apr 24 06:21:22 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.903 V,   0.640 A,  11.880 V,  16.768 W
 Thu Apr 24 06:21:32 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.640 A,  11.880 V,  16.917 W
 Thu Apr 24 06:21:42 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.640 A,  11.880 V,  16.780 W
 Thu Apr 24 06:21:52 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.637 A,  11.903 V,  16.872 W
 Thu Apr 24 06:22:02 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.880 V,   0.640 A,  11.903 V,  16.943 W
 Thu Apr 24 06:22:12 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.880 V,   0.637 A,  11.880 V,  16.691 W
 Thu Apr 24 06:22:22 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.642 A,  11.903 V,  16.991 W
 Thu Apr 24 06:22:32 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.642 A,  11.903 V,  17.021 W
 Thu Apr 24 06:22:42 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.880 V,   0.637 A,  11.903 V,  16.973 W
 Thu Apr 24 06:22:52 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.880 V,   0.640 A,  11.880 V,  16.928 W
 Thu Apr 24 06:23:02 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.642 A,  11.903 V,  16.943 W
 Thu Apr 24 06:23:12 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.642 A,  11.903 V,  16.902 W
 Thu Apr 24 06:23:22 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.640 A,  11.880 V,  16.947 W
 Thu Apr 24 06:23:32 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.903 V,   0.642 A,  11.903 V,  16.872 W
 Thu Apr 24 06:23:42 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.903 V,   0.642 A,  11.903 V,  16.783 W
